drug_name,side_effects,generic_name
Wal-finate,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Wal-finate may cause serious side effects. Stop using Wal-finate and call ",chlorpheniramine
acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, chlorpheniramine, dextromethorphan, and pseudoephedrine"
acetaminophen / chlorpheniramine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking acetaminophen and chlorpheniramine and call ",acetaminophen and chlorpheniramine
Actifed Cold and Allergy,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop using Actifed Cold & Allergy and call ",chlorpheniramine and phenylephrine
Advil Allergy Sinus,"chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, leg swelling, feeling short of breath. Stop using this medicine and call ","chlorpheniramine, ibuprofen, and pseudoephedrine"
Alka-Seltzer Plus Cold Formula Sparkling Original Effervescent Tablets,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call ","aspirin, chlorpheniramine, and phenylephrine"
Aprodine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call ",pseudoephedrine and triprolidine
aspirin / chlorpheniramine / phenylephrine,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call ","aspirin, chlorpheniramine, and phenylephrine"
C.P.M.,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using C.P.M. and call ",chlorpheniramine
camphor / eucalyptus / menthol,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Less serious side effects may be more likely, and you may have none at all.","camphor, eucalyptus, and menthol topical"
Cheratussin DAC,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Like other narcotic medications, codeine can slow your breathing. Death may occur if breathing becomes too weak. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Stop taking this medicine and call ","codeine, guaifenesin, and pseudoephedrine"
Chlo-Amine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Chlo-Amine may cause serious side effects. Stop using Chlo-Amine and call ",chlorpheniramine
Chlor-Mal,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Chlor-Mal may cause serious side effects. Stop using Chlor-Mal and call ",chlorpheniramine
chlorpheniramine / hydrocodone,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Like other narcotic medications, hydrocodone can slow your breathing. Death may occur if breathing becomes too weak. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. This medicine may cause serious side effects. Stop using this medicine and call ",chlorpheniramine and hydrocodone
chlorpheniramine / phenylephrine,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. chlorpheniramine and phenylephrine may cause serious side effects. Stop using chlorpheniramine and phenylephrine and call ",chlorpheniramine and phenylephrine
ChlorTan,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. ChlorTan may cause serious side effects. Stop using ChlorTan and call ",chlorpheniramine
codeine / guaifenesin / pseudoephedrine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Like other narcotic medications, codeine can slow your breathing. Death may occur if breathing becomes too weak. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Stop taking this medicine and call ","codeine, guaifenesin, and pseudoephedrine"
Coricidin HBP Nighttime Multi-Symptom Cold,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, dextromethorphan, and doxylamine"
dextromethorphan / promethazine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call ",dextromethorphan and promethazine
diphenhydramine / phenylephrine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call ",diphenhydramine and phenylephrine
Drixoral Cold and Allergy,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call ",dexbrompheniramine and pseudoephedrine
Ed-Chlortan,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Ed-Chlortan may cause serious side effects. Stop using Ed-Chlortan and call ",chlorpheniramine
Ed A-Hist,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Ed A-Hist may cause serious side effects. Stop using Ed A-Hist and call ",chlorpheniramine and phenylephrine
Ed ChlorPed,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Ed ChlorPed may cause serious side effects. Stop using Ed ChlorPed and call ",chlorpheniramine
Ed Chlor Ped Jr.,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Ed-Chlor Ped Jr may cause serious side effects. Stop using Ed-Chlor Ped Jr and call ",chlorpheniramine
ephedrine / guaifenesin,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Ephedrine and Guaifenesin
Robitussin Peak Cold Nighttime Nasal Relief,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking Robitussin Nighttime Nasal Relief and call ","acetaminophen, chlorpheniramine, and phenylephrine"
Theraflu Daytime Severe Cold & Cough,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, dextromethorphan, and phenylephrine"
TussiCaps,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Like other narcotic medications, hydrocodone can slow your breathing. Death may occur if breathing becomes too weak. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. This medicine may cause serious side effects. Stop using this medicine and call ",chlorpheniramine and hydrocodone
Tylenol Cold Multi-Symptom Nighttime,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Acetaminophen/Chlorpheniramine/Dextromethorphan/Phenylephrine Caps & Tabs
A-Phedrin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call ",pseudoephedrine and triprolidine
acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ","Acetaminophen, Chlorpheniramine, Dextromethorphan, Phenylephrine Liquid"
acetaminophen / dextromethorphan / doxylamine / phenylephrine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, dextromethorphan, doxylamine, and phenylephrine"
acetaminophen / dextromethorphan / doxylamine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call ","acetaminophen, dextromethorphan, and doxylamine"
